"5906710482","1","ミドリ安全富山　　高岡営業所","富山県高岡市京田６２０","0766-30-2678",""," ","5","100","0","9330874"," "
"5906710493","1","ミドリ安全富山　株式会社","富山県富山市下新本町４番１５号","0764-41-6522",""," ","4","80","0","9300803"," "
"5906710504","1","ミドリ安全石川　株式会社","石川県金沢市古府１－１１８","0762-40-4155",""," ","4","80","0","9200362"," "
"5906710515","1","ミドリ安全奈良　株式会社","奈良県奈良市西九条２－１１－７","0742-64-4541",""," ","3","60","0","6308453"," "
"5906710526","1","ミドリ安全株式会社　　　　　　　　　　　高槻支店","大阪府高槻市庄所町２－２９","072-675-0728",""," ","2","40","0","5690064"," "
"5906710530","1","ミドリ安全石川　株式会社","石川県金沢市古府１－１１８","0762-40-4155",""," ","4","80","0","9200362"," "
"5906710541","1","ミドリ安全富山　株式会社","富山県富山市下新本町４番１５号","0764-41-6522","20240626"," ","4","80","0","9300803"," "
"5906710552","1","ミドリ安全富山　　高岡営業所","富山県高岡市京田６２０","0766-30-2678",""," ","9","180","0","9330874"," "
"5906710563","1","ミドリ安全富山　株式会社","富山県富山市下新本町４番１５号","0764-41-6522",""," ","4","80","0","9300803"," "
"5906710574","1","ミドリ安全奈良　株式会社","奈良県奈良市西九条２－１１－７","0742-64-4541",""," ","3","60","0","6308453"," "
"5906710585","1","ミドリ安全株式会社　　　　　　　　　　　高槻支店","大阪府高槻市庄所町２－２９","072-675-0728",""," ","2","40","0","5690064"," "
"5906710596","1","ミドリ安全富山　　高岡営業所","富山県高岡市京田６２０","0766-30-2678",""," ","1","20","0","9330874"," "
"5906710600","1","ミドリ安全富山　株式会社","富山県富山市下新本町４番１５号","0764-41-6522",""," ","1","20","0","9300803"," "
"5906710611","1","ミドリ安全奈良　株式会社","奈良県奈良市西九条２－１１－７","0742-64-4541",""," ","1","20","0","6308453"," "
"5906710622","1","ミドリ安全石川　株式会社","石川県金沢市古府１－１１８","0762-40-4155",""," ","1","20","0","9200362"," "
